balloon_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
304,"[39.258216182973136, 108.9708910306189, 2.372177369385552, 1371.8486328125]","[38.414812090264554, 108.33549912115211, 2.202034581136907, 1310.1619873046875]","[37.41165330254272, 107.5928612183313, 2.065528417686579, 1459.70947265625]","[36.41828347957463, 106.87648426507819, 2.0038513784716994, 1521.8458251953125]","[33.49866816326039, 104.88435132104587, 2.2693728223335583, 1820.734375]","[32.548040015815445, 104.27709588163523, 2.505826374660975, 2267.628662109375]","[31.60996858591309, 103.69978744012585, 2.813841778819935, 2068.36328125]","[29.77491562284171, 102.63525417176758, 3.6343268947206617, 2172.1845703125]","[28.877839264814508, 102.15244762049099, 4.140845178545812, 2783.3388671875]","[27.130138710306365, 101.28388974909915, 5.32683800577413, 2577.10302734375]","[25.443226909345373, 100.55309017957542, 6.713584030910891, 2255.34033203125]",,,,,,,,,,,,,
305,"[-63.219792160490364, 64.59153734872582, 8.381402873663195, -4217.17138671875]","[-64.26437616524197, 66.13361245262034, 4.508333596330291, -3817.761962890625]","[-65.46572511981874, 68.38613473377474, 2.115323496251067, -2713.491943359375]","[-66.58431562299789, 71.1210220918614, 2.868297215047914, -1304.5958251953125]","[-69.0921322249505, 82.4480394916647, 17.350909327830387, 1806.2354736328125]","[-69.52755716528132, 87.16054501731097, 21.07138100601136, 2297.1474609375]","[-69.70637088726107, 92.16808267949271, 21.90546290855425, 2619.7080078125]","[-69.23061005702237, 102.32273084219189, 14.85519609845965, 2360.096923828125]","[-68.57641604227867, 107.08800149011071, 9.213120053558107, 2116.107177734375]","[-66.52251793266443, 115.27304919823524, 2.1045564528998373, -359.1054992675781]","[-63.68113117558483, 121.30845909690339, 6.589070255546616, -3583.36279296875]",,,,,,,,,,,,,
306,"[43.3081764466447, 28.135080820268985, 4.457177926274635, -174.78448486328125]","[43.03086589333348, 27.563992644098413, 7.450451734125766, 129.8061065673828]","[42.669679556646344, 26.90534487831539, 11.864672234298451, 333.7764892578125]","[42.275426556349494, 26.276182194130435, 16.3057317302557, 328.3955383300781]","[40.875171906589294, 24.606884234547852, 21.688030840061053, 58.79346466064453]","[40.33386472165978, 24.130417059899383, 19.589466015234414, 26.128530502319336]","[39.75532371788348, 23.699889806302497, 15.920928798763766, -40.36368179321289]","[38.477429509900745, 22.983569954136367, 7.079732193888681, 645.9387817382812]","[37.78198484838323, 22.70403004172214, 3.7330696498671028, 761.6211547851562]","[36.27288827874331, 22.315392735924018, 2.5067972375438465, -2035.0423583984375]","[34.61979158392629, 22.167767378236036, 8.725372859616003, -2834.946044921875]",,,,,,,,,,,,,
307,"[45.51559007166309, 55.348953108240146, 20.40469893551736, 22.30936050415039]","[45.01666546902831, 55.34731987361872, 18.294482792487848, 56.45595932006836]","[44.41883207561177, 55.354088086474306, 14.955108208780201, 119.27262878417969]","[43.821791574505035, 55.36996271169561, 11.193308537292506, 179.60072326660156]","[42.03831290255139, 55.46697816747979, 2.598385461174791, 154.00660705566406]","[41.4473521402403, 55.51592269309073, 2.005462531822973, 113.32120513916016]","[40.85642372379094, 55.57239430163284, 2.844436980889526, 84.05452728271484]","[39.677806580624946, 55.707541235046634, 8.148274515259514, 214.87530517578125]","[39.090486640231425, 55.78492754693, 11.854585278640844, 439.0008544921875]","[37.92145129169437, 55.95965976348105, 18.794055256329777, 476.24725341796875]","[36.756892705022224, 56.160166553371894, 21.98063449426204, 1227.700927734375]",,,,,,,,,,,,,
308,"[-60.697225837253924, 63.52038231858387, 21.514567251783134, -4595.89111328125]","[-58.32974529458837, 68.43507737382528, 20.169249885598663, -4432.55517578125]","[-55.13110154780033, 73.39094501229334, 17.5945463846964, -2333.01953125]","[-51.6247042099635, 77.45721519033192, 14.294347853109857, -2966.844970703125]","[-39.80516760442173, 85.77555372210858, 4.452349366306744, -3430.13232421875]","[-35.56884234083432, 87.63578822926242, 2.617534682886056, -3932.027587890625]","[-31.231460486844654, 89.17766748285605, 2.000410566992512, -2804.084716796875]","[-22.334628699403474, 91.52524291374412, 4.57179717968559, -4936.3515625]","[-17.80594630471984, 92.41418630997501, 7.427133051206139, -5366.54541015625]","[-8.664114095873236, 93.7744641055349, 14.46938558733681, -5105.0107421875]","[0.5235913858134443, 94.7084417112137, 20.271862696130235, -4478.22412109375]",,,,,,,,,,,,,
309,"[-66.33291609029634, -144.2370765000405, 4.489079399062835, -4089.510009765625]","[-66.56465452232223, -144.3282887341874, 4.981818054471762, -4203.5947265625]","[-66.84392745723426, -144.4364129714451, 5.620710389548051, -4327.4404296875]","[-67.12309029380935, -144.5403658443029, 6.306712626090448, -4397.19140625]","[-67.96453582457387, -144.81409542497613, 8.596258865269329, -4381.56640625]","[-68.24720533978267, -144.88649439283773, 9.417619752353508, -4379.63525390625]","[-68.52696189035161, -144.94529309435273, 10.258355505397649, -4388.15966796875]","[-69.09259135855805, -145.01365138198648, 11.971764570694717, -4409.125]","[-69.3749992680132, -145.01909673049656, 12.832208263444226, -4388.29296875]","[-69.93956669088158, -144.95676870008958, 14.527783847811591, -4347.2138671875]","[-70.50383031035068, -144.78359100938331, 16.148776952929655, -4329.51318359375]",,,,,,,,,,,,,
310,"[-59.02619050377031, -171.572720048007, 11.998524872732023, -4351.13330078125]","[-58.25634286452407, -171.83329378461593, 14.255568891488913, -4728.2890625]","[-57.36234260627968, -172.1169132024262, 16.801010165113343, -4999.517578125]","[-56.49873897535246, -172.37610308246167, 18.989650110390727, -4965.67919921875]","[-54.119257368297355, -173.03510753483266, 21.99740844440288, -5171.673828125]","[-53.40115388547172, -173.2280696392678, 21.56526579958362, -5292.6376953125]","[-52.72225622101264, -173.41229547051444, 20.423315649854853, -5474.77392578125]","[-51.484302306756625, -173.76711794693557, 16.39674279569947, -5860.9326171875]","[-50.927082806733985, -173.94110398765002, 13.809779598307536, -5464.322265625]","[-49.94549939530784, -174.29271780266893, 8.43631772398641, -5449.3818359375]","[-49.14105841394044, -174.65778112558345, 4.099977541654454, -5342.46240234375]",,,,,,,,,,,,,
311,"[-55.33303206097456, 111.11716717575311, 3.550287906068892, -3987.86083984375]","[-54.44224668791947, 105.75964874050243, 2.01115306341765, -3791.373046875]","[-53.10144813139667, 99.59681911255522, 3.599199597932726, -3786.06494140625]","[-51.484936173638516, 93.78346579880204, 8.318637274210477, -3840.25732421875]","[-45.264991635955155, 78.59240267293656, 21.96274442570236, -3501.71728515625]","[-42.82678549026608, 74.26017916099642, 20.6073713072367, -3726.85107421875]","[-40.24779425374463, 70.25285918338152, 16.042115273461885, -4126.669921875]","[-34.76147562260148, 63.11821430826027, 4.656304110292229, -4617.1552734375]","[-31.89032251461333, 59.9333246479659, 2.0785973443476244, -3649.431396484375]","[-25.98463042253713, 54.20136056831946, 7.601767696306133, -5257.5419921875]","[-19.94323565760579, 49.18329930486583, 19.07266822932207, -1838.3494873046875]",,,,,,,,,,,,,
312,"[-35.13568233482974, -16.548765910622382, 3.8867156051280425, -3104.734130859375]","[-35.788768775742625, -15.236293599130912, 6.80049694852169, -3300.119140625]","[-36.5868895275171, -13.51814601550211, 11.329180128083152, -3514.90234375]","[-37.39881686821386, -11.64874795444971, 16.008045091489684, -3619.9609375]","[-39.91153263009323, -5.123812164185621, 21.609688189307718, -3857.634033203125]","[-40.77165741187801, -2.647303717384582, 19.249459048748278, -4308.0400390625]","[-41.641097312599456, -0.022251898729754187, 15.252683395980911, -1498.943603515625]","[-43.39967938179705, 5.671446843277248, 6.12667567509453, -4623.884765625]","[-44.28599455222, 8.740366657504815, 3.0545183370592817, -4477.48095703125]","[-46.060333894114194, 15.309815501089998, 3.203532719968388, -4609.2041015625]","[-47.82164965611611, 22.45477279250353, 10.843281511302637, -5186.22314453125]",,,,,,,,,,,,,
313,"[38.410310111940234, 141.83080676305013, 18.102433908041256, -233.3030548095703]","[37.97589979372363, 142.16731957989097, 20.4939129858006, -639.260498046875]","[37.471194065370156, 142.5500291971781, 21.921083697563084, -2351.99853515625]","[36.98435374653035, 142.90878487969704, 21.540216845000913, -4769.9599609375]","[35.66306257158448, 143.87522836865077, 11.758662203241547, -5749.08740234375]","[35.273760464982466, 144.1654143058122, 7.611953965574143, -5732.9384765625]","[34.914116958776795, 144.4436164308094, 4.2638960133275265, -5751.8828125]","[34.28069822118976, 144.97426758043034, 2.1509750133408367, -5787.369140625]","[34.01042414893908, 145.22685969708695, 3.7706458072231506, -5467.3388671875]","[33.5728633220258, 145.71632007524883, 10.93905044417071, -5218.58935546875]","[33.275108955592515, 146.1932718114916, 18.84624235537359, -5550.5087890625]",,,,,,,,,,,,,
314,"[-1.1028214525957132, -68.7968894282327, 21.839744741054325, 126.73991394042969]","[-0.8291176841660096, -68.24585093160835, 21.949126623754132, 104.86729431152344]","[-0.4927377433248845, -67.5851357535053, 21.99976437513584, 99.45982360839844]","[-0.14726182615540945, -66.92704881570637, 21.962042546689844, 111.25402069091797]","[0.9407278926694088, -64.96460493613318, 21.325992271216926, 372.2878723144531]","[1.3193079610480767, -64.3169867150796, 20.9459647362294, 252.2226104736328]","[1.700135313093172, -63.66887168073895, 20.486774603735963, 338.53240966796875]","[2.4798280836241204, -62.38277626683532, 19.34844048778198, 310.7061462402344]","[2.8762657570083436, -61.741705411225524, 18.679041019023842, 229.64321899414062]","[3.6731462762718734, -60.466449030078934, 17.17003038355296, 209.84620666503906]","[4.47609089978335, -59.19966751008151, 15.478499780302645, 225.49105834960938]",,,,,,,,,,,,,
315,"[22.312092765603115, 166.28695211797873, 15.6929277919518, -5659.00927734375]","[22.944203055895976, 167.80460247706614, 18.97555433264703, -5943.248046875]","[23.632619176171872, 169.7957273757311, 21.47256446546964, -5880.4443359375]","[24.22609957697439, 171.97300663721182, 21.893289010853096, -5899.03564453125]","[25.226053673155533, 179.55752959567565, 12.070877919563936, -5598.955078125]","[25.22798278099417, -177.60423435585798, 7.512513392904496, -5286.59814453125]","[25.030566304036075, -174.64221884362038, 3.93653692834957, -4937.29345703125]","[23.97210203169725, -168.44726570855394, 2.4829589947618, -4597.11962890625]","[23.083619090714112, -165.27025168467327, 4.923576649898939, -4414.87451171875]","[20.540527786797735, -158.906913283908, 13.580831285761558, -4327.03515625]","[16.96833596139236, -152.7108856363745, 20.92917912408261, -5294.5693359375]",,,,,,,,,,,,,
316,"[29.796265108216275, -142.56241622531334, 10.187270360024458, -4955.9462890625]","[30.310224983524567, -143.67536508597414, 14.122812699171584, -5065.1640625]","[30.890593213966945, -144.97514094886773, 18.361066691564602, -5283.9208984375]","[31.425041076120706, -146.233327257664, 21.18726344022468, -5798.91064453125]","[32.69374823038636, -149.7545149474468, 17.230405350263492, -5535.18505859375]","[32.98813039527941, -150.83930800530928, 12.7494308699082, -5551.03369140625]","[33.21284215365283, -151.8750806504718, 8.101030714185642, -5494.65625]","[33.42698359596903, -153.7936928777492, 2.2398801647173325, -5502.72314453125]","[33.41227827921916, -154.67042719617618, 2.326042553569865, -5577.84521484375]","[33.11940901079985, -156.24755925623188, 8.440451131699817, -5750.5205078125]","[32.46337236823202, -157.566371387314, 17.538644149465178, -5824.83544921875]",,,,,,,,,,,,,
317,"[20.90324408109933, -22.203162589880034, 14.45233426096334, -4356.767578125]","[20.85251764268835, -21.702011991887726, 16.199551486541264, -4227.13671875]","[20.748616537529863, -21.125490754435205, 18.101167273215847, -4071.448486328125]","[20.60302490297699, -20.57624602379194, 19.70074586339362, -3861.82177734375]","[19.941334433986768, -19.151566872154504, 21.99723277406933, -3091.004638671875]","[19.661263787696598, -18.759981090080817, 21.802204120466346, -2796.542724609375]","[19.360273528303892, -18.408825955985847, 21.12256765716853, -2609.468505859375]","[18.714847508028008, -17.845463741437218, 18.4670751099537, -2459.601318359375]","[18.37845670440084, -17.629366820809754, 16.621763393395153, -2281.132568359375]","[17.698942371121195, -17.32548325989378, 12.349404007173993, -2060.660400390625]","[17.037746066251568, -17.180846326434562, 8.008270432797987, -1827.0452880859375]",,,,,,,,,,,,,
318,"[-60.55706199948347, 100.84613584845269, 21.54011845355364, -4497.0712890625]","[-60.495373948162516, 98.71380158075937, 21.99122548497249, -4453.60498046875]","[-60.415457284034616, 96.0450108520683, 20.971149483452677, -4401.66845703125]","[-60.33177602469762, 93.26463757277757, 18.423835519363735, -4394.7841796875]","[-60.03305603159114, 84.2836046504755, 6.779233533720847, -1849.691162109375]","[-59.91599821061277, 81.09252719926972, 3.7802231340349586, -1533.141845703125]","[-59.789674660202316, 77.8120064007345, 2.1803639821406104, -2003.3736572265625]","[-59.50431741333894, 71.00768288059405, 3.984820461908047, -4601.30517578125]","[-59.34333142424424, 67.49173343700564, 7.08228544566016, -4485.86181640625]","[-58.989118447065735, 60.27117205775802, 15.117733930755588, -4900.9677734375]","[-58.58613791738819, 52.83449191701624, 21.12091247011727, -5313.97216796875]",,,,,,,,,,,,,
319,"[12.92041176558732, -103.68413434485404, 21.50012046750139, -2779.591064453125]","[13.539059681347354, -102.81186287104137, 21.84821425056582, -3126.556396484375]","[14.295658427523666, -101.88913293593251, 21.999962603628113, -3480.365478515625]","[15.061651523373987, -101.10412573057744, 21.857640767658143, -3691.55517578125]","[17.357783855176667, -99.51860559233613, 19.750516244104, 584.4973754882812]","[18.109770489204173, -99.23274142940834, 18.557118852376686, 989.4478759765625]","[18.852180772888588, -99.06099973877289, 17.170541617203053, 1847.28515625]","[20.300357042637195, -99.0426750583114, 13.987305088482922, 1946.55126953125]","[21.005810045165767, -99.18396233415439, 12.283392816954713, 1038.45947265625]","[22.38718557162654, -99.74198178671718, 8.901832722837868, 892.3326416015625]","[23.7362793083084, -100.6313689258155, 5.881548098654469, 1745.091796875]",,,,,,,,,,,,,
320,"[29.78185638656898, 110.43044218092058, 3.7756301728127184, 816.870849609375]","[27.17514274331855, 114.41276760230944, 5.204716180434631, 130.49789428710938]","[24.05293045536815, 119.01192348118553, 7.339804010211552, -44.265045166015625]","[20.96811373732437, 123.44780029574102, 9.793054563045711, -5341.740234375]","[12.13688184625692, 136.0769390512548, 17.348470364396473, -5193.13623046875]","[9.398809776698883, 140.1286484773483, 19.35623613975616, -2618.919677734375]","[6.78694742858718, 144.12678454084121, 20.861268174081452, -2792.370849609375]","[2.0033988302360837, 151.99542159416004, 21.9909089410139, -4557.9267578125]","[-0.15070430651824368, 155.8747543445803, 21.538539535192, -2017.05126953125]","[-3.945885316800707, 163.513033324814, 18.752468947901566, -2394.780517578125]","[-7.033449020127726, 170.96056917434325, 14.150141244834712, -4887.64892578125]",,,,,,,,,,,,,
321,"[-14.935285417699829, 101.13651752510306, 8.727382537714412, -5786.5166015625]","[-14.10330459325198, 98.70936209536433, 10.304057130531282, -5405.1806640625]","[-13.134133502465463, 95.70195357086979, 12.252063742166873, -4120.77001953125]","[-12.210115897250715, 92.59465317094919, 14.189924696122526, -5684.8525390625]","[-9.818956476001413, 82.68280994268363, 19.225986348380072, -5056.9873046875]","[-9.191050291655886, 79.1976930132161, 20.431563460289006, -5331.42626953125]","[-8.668068384452406, 75.62715894327205, 21.31586840847743, -5210.84423828125]","[-7.976948019257402, 68.26909462124173, 21.998175426689834, -3255.133544921875]","[-7.8307952404162275, 64.49305998890415, 21.770339512771343, -4130.2978515625]","[-7.972387368835531, 56.79915090078477, 20.220038454803188, -3348.5810546875]","[-8.733748676349041, 48.97366784294517, 17.42761118502217, -4020.72802734375]",,,,,,,,,,,,,
322,"[45.4983757953022, -24.61487621937545, 7.916141713296501, -3085.707275390625]","[45.741297307972864, -25.245283763537426, 6.451352304963617, -3074.573974609375]","[46.047146559123156, -25.90859444257204, 4.901652679589663, -3065.001708984375]","[46.37367519902877, -26.46747810345665, 3.638254292683648, -2933.88916015625]","[47.47696793560107, -27.527209783812516, 2.0025429281199045, -2263.814697265625]","[47.888893528615775, -27.66852137978272, 2.248855508999579, -1953.1314697265625]","[48.322435741059174, -27.70219574372582, 2.8880579638848154, -2125.556396484375]","[49.254379969753785, -27.44490751645923, 5.226467067162352, -3005.88916015625]","[49.75537904009572, -27.149556951439386, 6.8321120990908195, -3312.912353515625]","[50.81486712130854, -26.21927740088629, 10.593864173118384, -3973.451904296875]","[51.9544091004984, -24.82375201207828, 14.58036506346345, -3302.66650390625]",,,,,,,,,,,,,
323,"[-39.00774048120901, -8.100175989495165, 11.131634241449063, -3384.161376953125]","[-38.79315820615624, -6.611511534727576, 9.036770386597306, -3587.837890625]","[-38.44925077755922, -4.906219498933624, 6.708736982901383, -3650.03857421875]","[-38.01736501794735, -3.298080952427608, 4.728030720812438, -4672.51123046875]","[-36.29338155883216, 0.8829863380800402, 2.0009087026956554, -4970.8037109375]","[-35.60647817865092, 2.052808256230681, 2.3626649304401965, -4863.70263671875]","[-34.87773775886059, 3.1085400948237383, 3.35615008026466, -5008.9306640625]","[-33.334526498725474, 4.886550854844408, 6.93942036796684, -5068.39306640625]","[-32.53324681944149, 5.615654210182343, 9.295331189466967, -5174.5810546875]","[-30.906214531680625, 6.775193992973563, 14.37158530565978, -5154.88720703125]","[-29.28536525944146, 7.570118741740863, 18.83705979878631, -4907.00634765625]",,,,,,,,,,,,,
324,"[46.56080027946725, -130.68539080759808, 14.305497519265268, -2658.205322265625]","[47.133624740888486, -126.12606711163421, 11.829939240646734, -2425.903564453125]","[47.709620662680166, -120.44337034665028, 8.886124173532052, 1205.1370849609375]","[48.14627532549304, -114.5540476937978, 6.220490019995898, 1175.2237548828125]","[48.4881075413758, -95.93601025228593, 2.015569273018924, 335.3437194824219]","[48.25229810635285, -89.54582660413357, 2.2956110940060395, 369.1700744628906]","[47.83182085573939, -83.12951797280259, 3.440441172848912, 416.77801513671875]","[46.468587810349284, -70.39566516907385, 7.847012460903058, 371.9858093261719]","[45.54255690412924, -64.14059175096263, 10.717291523404423, 22.339447021484375]","[43.27100442598254, -51.98452987663567, 16.533323057803592, -1886.061279296875]","[40.559606142945405, -40.370056613679985, 20.77060785854193, -4780.27490234375]",,,,,,,,,,,,,
325,"[75.89645635396693, 154.0596480618874, 12.502837226495988, -33.51947021484375]","[76.26450579267153, 154.31516340664874, 15.783861479959212, -40.376678466796875]","[76.70287321804273, 154.73741968492018, 19.127695419518087, -48.193572998046875]","[0, 0, 0, -4935.0]","[78.33879789370322, 158.2400070985284, 18.645895697431246, -119.88204956054688]","[78.70557335452798, 159.7227667303011, 15.16151538004487, -165.6597900390625]","[79.04448077877201, 161.5121784558165, 11.163812172996648, -386.9256591796875]","[79.60835120114191, 166.10395946403335, 4.202509324284652, -2281.066162109375]","[79.81624788779389, 168.92824722671077, 2.365350521188258, -2626.496826171875]","[80.02714259034664, 175.54107172652797, 3.419849065135029, -2222.3525390625]","[79.88865512454205, -176.97420574545495, 9.810564068806505, -1759.353515625]",,,,,,,,,,,,,
326,"[29.309579859501262, -107.60072151029941, 21.68599374421798, 1935.5609130859375]","[31.449153970542557, -108.42335406616805, 21.876435116256083, 1504.530029296875]","[33.96498294090409, -109.43895399325727, 19.973959908914523, 2373.8623046875]","[36.41957340974911, -110.49115234084623, 16.192700396382847, 1720.2586669921875]","[43.37945805435072, -113.93432330620237, 3.383689239362875, 1623.2181396484375]","[45.54638913369799, -115.20163916253678, 2.0088166462976975, 1836.9078369140625]","[47.62992624393227, -116.54177211522426, 2.988874188719876, 932.82666015625]","[51.522059521238795, -119.46421692908551, 10.58797855678646, 1242.7991943359375]","[53.322257364823514, -121.06130566371763, 15.417581816871166, 1371.16064453125]","[56.60463657314343, -124.54733534725229, 21.710147234295516, 1243.3419189453125]","[59.43443992824393, -128.43214462327438, 19.38850681962018, 1125.7242431640625]",,,,,,,,,,,,,
327,"[61.227437973000924, 152.6529012423835, 7.950052300859121, 946.0527954101562]","[61.13510092844712, 151.81902742803177, 5.253811636096514, 1032.0135498046875]","[61.02733025185168, 150.80129524779068, 2.9614127671127815, 948.0953369140625]","[60.9257647269283, 149.76904439892454, 2.0145458100308407, 1000.6914672851562]","[60.63804649927719, 146.57035325520073, 7.558852137336739, 679.2706909179688]","[60.546102646414504, 145.4746614607056, 11.280248326820173, 632.68994140625]","[60.45879030711853, 144.36697897393617, 15.109751666891643, 586.8864135742188]","[60.289981574575634, 142.1152176680552, 20.877877362185586, 635.2603759765625]","[60.209561849142155, 140.97217364120715, 21.95950581454739, 864.1595458984375]","[60.0487170627438, 138.66401571279803, 19.736129006946456, 838.972900390625]","[59.893024589166465, 136.32852502077824, 13.079076844197424, 390.8562316894531]",,,,,,,,,,,,,
328,"[51.421148642947884, -107.40431562401933, 18.53496978080028, 578.2456665039062]","[51.33176558309046, -107.54896133159271, 15.374545109950624, 587.17724609375]","[51.202907043803606, -107.70632083825959, 11.026871201445605, 593.9573974609375]","[51.05300172866974, -107.84656731071661, 6.867021415602101, 596.0972290039062]","[50.47042948356191, -108.17291486225663, 2.426233027086834, 739.7560424804688]","[50.23423091654076, -108.24991609025138, 4.5788319475793475, 791.5639038085938]","[49.97599434936335, -108.30932154730213, 8.156123734886826, 837.6328125]","[49.39921011879703, -108.3859389207033, 16.693615251786447, 843.8496704101562]","[49.07940254001764, -108.40305517748527, 20.017670863869725, 852.964111328125]","[48.38227468344945, -108.39318281512055, 21.707258394831378, 838.1529541015625]","[47.60847308550103, -108.3332667237912, 16.30457820630222, 902.1767578125]",,,,,,,,,,,,,
329,"[29.051740390782804, 160.93529139158545, 21.99993719773731, -5822.04931640625]","[28.60725507215429, 161.46203107665906, 20.80788793041477, -5850.57275390625]","[28.086603010185673, 162.0883132843357, 16.703812765496572, -5876.8310546875]","[27.580785953615074, 162.70616026296997, 11.022396810105771, -5860.62451171875]","[26.15050204194655, 164.49181954352886, 2.41813924399251, -5837.2666015625]","[25.700790124167, 165.0582441477945, 5.611867479283224, -5818.66650390625]","[25.263242862150964, 165.6076525520331, 10.950415887588134, -5960.5380859375]","[24.42545048762366, 166.64574666731264, 20.77261431493247, -5998.22021484375]","[24.02104314944847, 167.13075414847785, 21.962062975782402, -5864.13720703125]","[23.248256017530995, 168.02918162988036, 15.035193248921047, -5621.8115234375]","[22.511006177173936, 168.81920766402843, 4.375713683383793, -5552.962890625]",,,,,,,,,,,,,
330,"[12.99440147041483, 150.2618529522742, 3.9695184723227115, -5919.666015625]","[11.056324212092967, 150.3122171186301, 4.484037559355219, -5877.6826171875]","[8.735056082734209, 150.51011781591333, 5.167824624109361, -3367.7548828125]","[6.433998885026054, 150.85824532289902, 5.917385653630632, -4099.2333984375]","[-0.2196536939910243, 152.796187088196, 8.486931106886532, -4336.70849609375]","[-2.3065254868581415, 153.735050699178, 9.422670962709304, -3495.151123046875]","[-4.3049560858287785, 154.81318032511223, 10.383560283493578, -2632.209716796875]","[-7.977694422068367, 157.36895909024517, 12.34220010137377, -342.3403625488281]","[-9.629270966091354, 158.8336868333861, 13.32157727856725, -2374.59814453125]","[-12.501984578661313, 162.08527989739505, 15.232184155803587, -4473.25]","[-14.744926446947073, 165.68054106988345, 17.018521510572988, -4406.72607421875]",,,,,,,,,,,,,
331,"[-49.28208054714752, 1.219164296192074, 20.054181048300038, -4015.17724609375]","[-48.77437498282629, 1.160034914781438, 21.600264121566436, -4063.789794921875]","[-48.122300826573216, 1.1713476829447371, 21.905955917876305, -3956.8564453125]","[-47.42658648986449, 1.269579790248044, 20.482687697496843, -3909.146240234375]","[-45.084158468396105, 2.1192548630613817, 9.526765873741654, -4218.39111328125]","[-44.22202867366978, 2.5886900540919435, 5.784241940915525, -4428.92919921875]","[-43.32305419883445, 3.152772238119407, 3.1258563990068033, -4467.2744140625]","[-41.425174828707405, 4.563193318498715, 2.6501543877949008, -4892.50537109375]","[-40.43219682942665, 5.409990991965386, 4.9157593601673595, -5155.439453125]","[-38.36936744511492, 7.385758319938013, 12.543820286707403, -5131.91552734375]","[-36.23006005115787, 9.72975475386812, 19.809575349179305, -5064.3505859375]",,,,,,,,,,,,,
332,"[17.383469493900698, 64.53035991010768, 5.14446270843132, -3577.696044921875]","[16.57090823671134, 65.95202968368105, 7.962396023645706, -3671.13427734375]","[15.59844591534655, 67.59605216353793, 11.921558431864211, -3764.526123046875]","[14.627879341555243, 69.16797689389838, 15.89254188565491, -3946.85009765625]","[11.736924194882828, 73.44967294482493, 21.9864118847144, -1893.3387451171875]","[10.780315984856877, 74.7256816331765, 20.96140047663635, -1516.8018798828125]","[9.828397011780421, 75.92432156100972, 18.466728204636674, -217.58729553222656]","[7.940021187571666, 78.07861644344565, 10.881170464765859, -306.25677490234375]","[7.000837427706371, 79.0352970036272, 7.032093107214045, -2438.78076171875]","[5.142722567520295, 80.69375206444327, 2.276179194683408, -3661.7060546875]","[3.3047447224256663, 82.01203923955012, 3.634704418575721, -4289.93212890625]",,,,,,,,,,,,,
333,"[-40.304578300532334, 24.940915462346915, 21.945581473587893, -3003.4794921875]","[-39.73555729630392, 25.872443343231474, 21.99793337216539, -2515.11669921875]","[-39.062852273517315, 27.016852065949518, 21.855834548745634, -2890.142333984375]","[-38.400924356067236, 28.187259897898674, 21.493475962488702, -3859.075927734375]","[-36.47602415678352, 31.835549204451905, 19.188907603854084, -4232.26123046875]","[-35.856328760390035, 33.09201601527203, 18.072301913612307, -3760.404052734375]","[-35.24811278010417, 34.364723807639955, 16.819622154043312, -3134.3818359375]","[-34.0707292357766, 36.946755356776386, 14.022177578906332, -5166.54150390625]","[-33.49772599742657, 38.25585554628378, 12.539187806125488, -5170.4365234375]","[-32.38963916222538, 40.89273649791596, 9.57127480057759, -4835.70947265625]","[-31.327895026809248, 43.545238099473465, 6.818911766306616, -1983.7794189453125]",,,,,,,,,,,,,
334,"[-7.353555420612931, -91.61422091699362, 12.57934377122081, -4155.9326171875]","[-6.636644826672088, -91.82326630427968, 13.70354958260301, -4140.587890625]","[-5.76582372129984, -92.04052582146738, 15.02283885553674, -4054.66357421875]","[-4.88680840910279, -92.21916511327113, 16.28604666191843, -3972.462890625]","[-2.2007100500924217, -92.47136245473932, 19.516537643677612, -3378.618896484375]","[-1.2915314031099576, -92.44635600634398, 20.340596275850288, -3303.974609375]","[-0.380728752231011, -92.35893062753048, 21.011104683070712, -3207.5595703125]","[1.4356920305116163, -91.98699011309998, 21.844199441180407, -2364.962158203125]","[2.334854077663113, -91.69415451816356, 21.991655741159096, -2301.5654296875]","[4.089780369882281, -90.87728646861926, 21.734686475592024, -2863.971923828125]","[5.755361870562262, -89.73665822088093, 20.763216507411776, -3420.133544921875]",,,,,,,,,,,,,
335,"[-16.473106365745913, -66.42920366410074, 21.629151557269136, 1413.80517578125]","[-16.987094117029574, -67.27023034898724, 21.901113091050462, 2498.080322265625]","[-17.596168212089495, -68.22124036225357, 21.998340741115562, 4174.4521484375]","[-18.193595144149963, -69.10770404186293, 21.843520106709676, 4695.3310546875]","[-19.88678840380555, -71.38599960092934, 19.93689683227958, -3493.58837890625]","[-20.413777204424694, -72.0159665309223, 18.874191343015628, -4177.37109375]","[-20.918113624761574, -72.58118364046332, 17.637872352096977, -4556.353515625]","[-21.856940526643516, -73.51734267449088, 14.77433629240028, -4535.2744140625]","[-22.288159186110267, -73.88832793398366, 13.21852984887986, -4340.49169921875]","[-23.066510912283444, -74.43378639966359, 10.05560781517112, -4128.556640625]","[-23.734037729190895, -74.72378528073446, 7.087083007513348, -4160.70947265625]",,,,,,,,,,,,,
